Address,Date time,Latitude,Longitude,Resolved Address,Name,Wind Direction,Minimum Temperature,Maximum Temperature,Temperature,Wind Speed,Cloud Cover,Heat Index,Chance Precipitation (%),Precipitation,Sea Level Pressure,Snow Depth,Snow,Relative Humidity,Wind Gust,Wind Chill,Conditions
"Washington,DC,USA","10/13/2022",38.8904,-77.032,"Washington, DC, United States","Washington,DC,USA",264.3,57.6,69.9,63.1,4.7,86.4,,100.0,0.03,1007.4,0.0,0.0,87.9,25.9,,"Rain, Overcast"
"Washington,DC,USA","10/14/2022",38.8904,-77.032,"Washington, DC, United States","Washington,DC,USA",204.6,51.7,64.5,57.2,4.5,23.8,,19.0,0.03,1012.9,0.0,0.0,79.0,23.7,48.0,"Clear"
"Washington,DC,USA","10/15/2022",38.8904,-77.032,"Washington, DC, United States","Washington,DC,USA",171.4,53.1,73.5,62.5,8.5,29.9,,0.0,0.0,1016.0,0.0,0.0,56.6,28.2,,"Partially cloudy"
"Washington,DC,USA","10/16/2022",38.8904,-77.032,"Washington, DC, United States","Washington,DC,USA",244.9,55.7,69.9,62.2,3.8,79.1,,9.5,0.0,1015.4,0.0,0.0,46.4,15.2,,"Overcast"
"Washington,DC,USA","10/17/2022",38.8904,-77.032,"Washington, DC, United States","Washington,DC,USA",262.6,49.7,65.9,57.1,7.4,89.7,,14.3,0.13,1009.0,0.0,0.0,71.9,21.7,48.2,"Overcast"
"Washington,DC,USA","10/18/2022",38.8904,-77.032,"Washington, DC, United States","Washington,DC,USA",295.1,41.4,52.1,47.0,8.7,32.6,,9.5,0.0,1008.4,0.0,0.0,51.6,22.6,36.3,"Partially cloudy"
"Washington,DC,USA","10/19/2022",38.8904,-77.032,"Washington, DC, United States","Washington,DC,USA",258.7,38.9,52.6,44.9,9.0,22.2,,4.8,0.0,1012.3,0.0,0.0,53.3,23.7,33.8,"Clear"
"Washington,DC,USA","10/20/2022",38.8904,-77.032,"Washington, DC, United States","Washington,DC,USA",223.2,40.7,60.5,49.2,9.0,19.4,,0.0,0.0,1011.1,0.0,0.0,37.4,27.3,35.7,"Clear"
"Washington,DC,USA","10/21/2022",38.8904,-77.032,"Washington, DC, United States","Washington,DC,USA",204.3,45.6,68.6,56.6,8.2,23.7,,4.8,0.0,1008.6,0.0,0.0,40.0,32.7,42.7,"Clear"
"Washington,DC,USA","10/22/2022",38.8904,-77.032,"Washington, DC, United States","Washington,DC,USA",278.8,46.5,58.1,53.3,8.9,62.5,,14.3,0.28,1012.2,0.0,0.0,55.2,30.3,43.0,"Partially cloudy"
"Washington,DC,USA","10/23/2022",38.8904,-77.032,"Washington, DC, United States","Washington,DC,USA",293.7,39.5,55.1,47.3,5.7,4.5,,14.3,0.0,1020.8,0.0,0.0,50.9,22.1,34.8,"Clear"
"Washington,DC,USA","10/24/2022",38.8904,-77.032,"Washington, DC, United States","Washington,DC,USA",313.5,43.2,61.4,51.6,5.4,29.2,,0.0,0.0,1018.0,0.0,0.0,40.4,26.8,41.1,"Partially cloudy"
"Washington,DC,USA","10/25/2022",38.8904,-77.032,"Washington, DC, United States","Washington,DC,USA",118.3,40.5,54.8,47.8,6.9,0.0,,9.5,0.0,1021.8,0.0,0.0,47.9,25.8,35.2,"Clear"
"Washington,DC,USA","10/26/2022",38.8904,-77.032,"Washington, DC, United States","Washington,DC,USA",82.7,41.1,57.1,48.4,3.6,4.2,,19.0,0.0,1024.5,0.0,0.0,52.0,9.4,43.7,"Clear"
"Washington,DC,USA","10/27/2022",38.8904,-77.032,"Washington, DC, United States","Washington,DC,USA",103.5,45.2,56.7,50.4,2.8,96.0,,14.3,0.0,1021.2,0.0,0.0,62.7,9.8,,"Overcast"
"Washington,DC,USA","10/28/2022",38.8904,-77.032,"Washington, DC, United States","Washington,DC,USA",166.4,45.9,60.3,52.7,4.2,45.8,,4.8,0.0,1019.0,0.0,0.0,55.0,12.1,44.4,"Partially cloudy"
